# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 1.486743803718801,1.9737156565244014,0.9412698736005728,5.024789919608439,-165.95623189311235,-107.79220545219134,5.337110311225768,0.18736730959010872,-306.25151125849993,2254.2704448903646
 1.4923802046247119,1.9791805533119002,0.9695720511590666,5.021320880282555,-167.6099488912974,-108.11182983761614,4.962161300648053,0.20152508945434744,-293.3994628470824,2280.187060139674
 1.4979754645587982,1.9847626711176887,0.99765120325907,5.018382064601753,-169.18039139669284,-108.43145422304094,4.612731880223194,0.2167912694616912,-280.67373525014125,2274.376480602115
 1.5035353726450615,1.9904645743821592,1.0255391233099596,5.015895877809743,-170.671560847574,-108.75107860846575,4.288118948597807,0.23320248621531237,-268.2003780899357,2243.446648160042
 1.50906476645688,1.9962884768575984,1.0532623780551353,5.013796392277362,-172.08749093771706,-109.07070299389055,3.9873203409264333,0.2507949987704412,-256.07329452944845,2193.2030839559943
 1.5145676858221366,2.0022362696190585,1.0808431609978204,5.012027455248463,-173.43218270342908,-109.39032737931535,3.7091362019437826,0.269604550912945,-244.35970735858004,2128.613267500053
 1.5200474997464863,2.008309547359752,1.1082999942218015,5.010541161256563,-174.7095551951776,-109.70995176474015,3.452248931371518,0.28966624941577357,-233.10508520599257,2053.8329052702466
 1.5255070117186302,2.014509632898681,1.1356483089631042,5.009296596626626,-175.92340919658685,-110.02957615016496,3.215284626830093,0.3110144562803097,-222.33745572914677,1972.2695969503388
 1.5309485474828863,2.020837599890334,1.162900928304061,5.008258793403784,-177.0774016519367,-110.34920053558977,2.9968590528297234,0.33368269323703104,-212.07109634931965,1886.6657915333212
 1.536374028488625,2.02729429377109,1.1900684702290305,5.007397850298273,-178.17502872412052,-110.66882492101458,2.7956110044613047,0.357703556898358,-202.30963319618127,1799.1885222367525
 1.5417850335653518,2.0338803510081673,1.2171596854352245,5.006688188616797,-179.21961568818114,-110.98844930643938,2.6102256314377943,0.38310864315939175,-193.04860173823323,1711.5177913582834
